counter,time,cube_pose_x,cube_pose_y,eef_pose_x,eef_pose_y,eef_pose_z,eef_vel_x,eef_vel_y,eef_vel_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next,eef_vel_x_next,eef_vel_y_next,eef_vel_z_next
7158,797.457,0.79,0.24,0.7873308882,0.2477317177,-0.1346708185,0.360508162,0.0524522461,0.5031764602,0.8041891939,0.2447320666,-0.1136901731,0.0027620663,-0.0972089822,-0.0446128008
7159,797.55,0.79,0.24,0.8041891939,0.2447320666,-0.1136901731,0.0027620663,-0.0972089822,-0.0446128008,0.4019568831,0.0012321644,-0.137032793,-0.0154357718,-0.0833207257,0.2138167885
7160,798.634,0.55,0.29,0.4019568831,0.0012321644,-0.137032793,-0.0154357718,-0.0833207257,0.2138167885,0.4757030011,0.074232257,-0.1600258658,0.7986526927,1.7392780348,-0.1612904031
7161,798.736,0.55,0.29,0.4757030011,0.074232257,-0.1600258658,0.7986526927,1.7392780348,-0.1612904031,0.5171749753,0.2238520021,-0.1508549109,0.2981904281,1.3233574525,0.2850388718
7162,798.834,0.55,0.29,0.5171749753,0.2238520021,-0.1508549109,0.2981904281,1.3233574525,0.2850388718,0.5491884243,0.3051318897,-0.1207635557,0.2203308699,0.1922835185,0.0852884639
7163,798.934,0.55,0.29,0.5491884243,0.3051318897,-0.1207635557,0.2203308699,0.1922835185,0.0852884639,0.3965396391,-0.0034668658,-0.1380403977,0.0782212234,0.0412535853,0.0664375675
7164,799.777,0.7,0.29,0.3965396391,-0.0034668658,-0.1380403977,0.0782212234,0.0412535853,0.0664375675,0.5126638612,0.020956182,-0.1544201297,1.5369953494,0.8614270627,-0.2657833695
7165,799.877,0.7,0.29,0.5126638612,0.020956182,-0.1544201297,1.5369953494,0.8614270627,-0.2657833695,0.6079540999,0.1438346582,-0.1911584869,0.4984325283,1.2016114253,-0.1779162776
7166,799.977,0.7,0.29,0.6079540999,0.1438346582,-0.1911584869,0.4984325283,1.2016114253,-0.1779162776,0.6542112781,0.2414853578,-0.1758296991,0.4168982427,0.5952218246,0.370313786
7167,800.077,0.7,0.29,0.6542112781,0.2414853578,-0.1758296991,0.4168982427,0.5952218246,0.370313786,0.6883786757,0.2771793912,-0.1391765073,0.4000797438,0.3127166505,0.4651253325
7168,800.177,0.7,0.29,0.6883786757,0.2771793912,-0.1391765073,0.4000797438,0.3127166505,0.4651253325,0.7085164044,0.2913590679,-0.1188069032,-0.0451293207,-0.0337998415,-0.0992021104
7169,800.279,0.7,0.29,0.7085164044,0.2913590679,-0.1188069032,-0.0451293207,-0.0337998415,-0.0992021104,0.4020551764,0.0013169187,-0.1372600229,-0.0047648819,-0.0775773514,0.2224574915
7170,801.043,0.56,-0.36,0.4020551764,0.0013169187,-0.1372600229,-0.0047648819,-0.0775773514,0.2224574915,0.4019774746,0.0005608241,-0.1351242328,-0.0101305125,-0.0739538533,0.2065083256
7171,801.048,0.56,-0.36,0.4019774746,0.0005608241,-0.1351242328,-0.0101305125,-0.0739538533,0.2065083256,0.449262512,-0.0848150002,-0.1674460082,0.4390985253,-1.3314774479,-0.7535000085
7172,801.148,0.56,-0.36,0.449262512,-0.0848150002,-0.1674460082,0.4390985253,-1.3314774479,-0.7535000085,0.4701438827,-0.167944447,-0.2218872644,0.4160009085,-0.4532024837,-0.1411613798
7173,801.249,0.56,-0.36,0.4701438827,-0.167944447,-0.2218872644,0.4160009085,-0.4532024837,-0.1411613798,0.5174291514,-0.2270257411,-0.2069088147,0.4177178506,-0.7671195706,0.3567212638
7174,801.348,0.56,-0.36,0.5174291514,-0.2270257411,-0.2069088147,0.4177178506,-0.7671195706,0.3567212638,0.5453516992,-0.3171427815,-0.1602593327,0.1282140936,-0.9888055722,0.5454080427
7175,801.451,0.56,-0.36,0.5453516992,-0.3171427815,-0.1602593327,0.1282140936,-0.9888055722,0.5454080427,0.5519446836,-0.3831308269,-0.1222596312,0.0292406699,-0.1279884839,0.1754987256
7176,801.548,0.56,-0.36,0.5519446836,-0.3831308269,-0.1222596312,0.0292406699,-0.1279884839,0.1754987256,0.400838574,0.0021186533,-0.1369468047,-0.0399086878,0.263992664,0.1621865173
7177,802.463,0.67,0.33,0.400838574,0.0021186533,-0.1369468047,-0.0399086878,0.263992664,0.1621865173,0.4773352834,0.0097743782,-0.1581496515,1.2942884149,0.6451921443,-0.2936289795
7178,802.563,0.67,0.33,0.4773352834,0.0097743782,-0.1581496515,1.2942884149,0.6451921443,-0.2936289795,0.5703209229,0.1190582746,-0.1894571813,0.6767804942,1.428002001,-0.2387252129
7179,802.663,0.67,0.33,0.5703209229,0.1190582746,-0.1894571813,0.6767804942,1.428002001,-0.2387252129,0.6205711217,0.242304957,-0.1820531293,0.4201064349,0.9916828941,0.3280115328
7180,802.763,0.67,0.33,0.6205711217,0.242304957,-0.1820531293,0.4201064349,0.9916828941,0.3280115328,0.6610197248,0.3180236296,-0.1366845911,0.3458457803,0.5179344458,0.459537631
7181,802.864,0.67,0.33,0.6610197248,0.3180236296,-0.1366845911,0.3458457803,0.5179344458,0.459537631,0.6760935298,0.3411099389,-0.1197391864,-0.0825283411,-0.0542410316,-0.1493153255
7182,802.963,0.67,0.33,0.6760935298,0.3411099389,-0.1197391864,-0.0825283411,-0.0542410316,-0.1493153255,0.4007236075,0.0005460064,-0.1376038547,0.0195876413,-0.0633318128,0.1836965966
7183,803.794,0.25,-0.04,0.4007236075,0.0005460064,-0.1376038547,0.0195876413,-0.0633318128,0.1836965966,0.4499307752,0.0542598183,-0.1537140544,0.7165825792,1.4306655383,0.0025836212
7184,803.894,0.26,-0.02,0.4499307752,0.0542598183,-0.1537140544,0.7165825792,1.4306655383,0.0025836212,0.5042261823,0.1819388575,-0.1309286491,0.3714209722,0.8224251459,0.2620267418
7185,803.995,0.26,-0.02,0.5042261823,0.1819388575,-0.1309286491,0.3714209722,0.8224251459,0.2620267418,0.5219888401,0.2052805678,-0.1271382813,-0.0522287376,-0.2281484869,-0.1510209435
7186,804.098,0.26,-0.02,0.5219888401,0.2052805678,-0.1271382813,-0.0522287376,-0.2281484869,-0.1510209435,0.3955146186,-0.0050580265,-0.1391710159,0.0609377759,0.0683739498,0.0508026972
7187,804.556,0.73,0.09,0.3955146186,-0.0050580265,-0.1391710159,0.0609377759,0.0683739498,0.0508026972,0.4858912887,-0.0635178195,-0.1570236992,1.3105065566,-0.5810245292,-0.3281045006
7188,804.656,0.73,0.09,0.4858912887,-0.0635178195,-0.1570236992,1.3105065566,-0.5810245292,-0.3281045006,0.5866819138,-0.0536426597,-0.1903473956,0.9126993509,0.6011374106,-0.1911327013
7189,804.756,0.73,0.09,0.5866819138,-0.0536426597,-0.1903473956,0.9126993509,0.6011374106,-0.1911327013,0.6717022369,0.0282844574,-0.174984043,0.6636017512,0.7295551133,0.3840648458
7190,804.857,0.73,0.09,0.6717022369,0.0282844574,-0.174984043,0.6636017512,0.7295551133,0.3840648458,0.7275447479,0.0864311819,-0.1293697104,0.3960132251,0.4008033371,0.3775504191
7191,804.956,0.73,0.09,0.7275447479,0.0864311819,-0.1293697104,0.3960132251,0.4008033371,0.3775504191,0.7401417331,0.1024130528,-0.1206960571,-0.0997936565,-0.077035292,-0.160750449
7192,805.057,0.73,0.09,0.7401417331,0.1024130528,-0.1206960571,-0.0997936565,-0.077035292,-0.160750449,0.4004777838,-1.99820772095E-05,-0.1373350028,0.0529602898,-0.0191838019,0.1173960251
7193,805.836,0.53,-0.14,0.4004777838,-1.99820772095E-05,-0.1373350028,0.0529602898,-0.0191838019,0.1173960251,0.4383168702,-0.0678027739,-0.1601342937,0.4036679355,-0.8955854819,-0.2045056585
7194,805.94,0.53,-0.14,0.4383168702,-0.0678027739,-0.1601342937,0.4036679355,-0.8955854819,-0.2045056585,0.4933838967,-0.1336276923,-0.1467173308,0.4965427922,-0.5320625938,0.3071525689
7195,806.038,0.53,-0.14,0.4933838967,-0.1336276923,-0.1467173308,0.4965427922,-0.5320625938,0.3071525689,0.5276423326,-0.1552074055,-0.1293846253,0.1614261602,0.0656995151,0.0986796824
7196,806.136,0.53,-0.14,0.5276423326,-0.1552074055,-0.1293846253,0.1614261602,0.0656995151,0.0986796824,0.3999501993,0.0033277239,-0.1360637945,0.0188873351,-0.0782397485,0.0099837374
7197,806.93,0.55,0.27,0.3999501993,0.0033277239,-0.1360637945,0.0188873351,-0.0782397485,0.0099837374,0.4662826108,0.0680590673,-0.1600031071,0.8130958907,1.6846517079,-0.1022460003
7198,807.038,0.55,0.27,0.4662826108,0.0680590673,-0.1600031071,0.8130958907,1.6846517079,-0.1022460003,0.5175872145,0.2248288897,-0.1444296395,0.3670167882,1.1623483096,0.3241074194
7199,807.142,0.55,0.27,0.5175872145,0.2248288897,-0.1444296395,0.3670167882,1.1623483096,0.3241074194,0.5472074807,0.2866793468,-0.1213533678,0.1892377435,0.1281302811,0.0224845219
7200,807.237,0.55,0.27,0.5472074807,0.2866793468,-0.1213533678,0.1892377435,0.1281302811,0.0224845219,0.3954868012,-0.0040934554,-0.1406137885,0.0635790913,0.0217546346,0.0901334941
7201,807.858,0.71,-0.06,0.3954868012,-0.0040934554,-0.1406137885,0.0635790913,0.0217546346,0.0901334941,0.4875631275,-0.0512280004,-0.1538875391,1.4323512319,-0.348619873,-0.2031917784
7202,807.96,0.71,-0.06,0.4875631275,-0.0512280004,-0.1538875391,1.4323512319,-0.348619873,-0.2031917784,0.6015400977,-0.0661990889,-0.1682817722,0.855126519,-0.2983069488,0.0802961279
7203,808.058,0.71,-0.06,0.6015400977,-0.0661990889,-0.1682817722,0.855126519,-0.2983069488,0.0802961279,0.6721211946,-0.0967612637,-0.141552969,0.6159174763,-0.1011250371,0.3979617104
7204,808.158,0.71,-0.06,0.6721211946,-0.0967612637,-0.141552969,0.6159174763,-0.1011250371,0.3979617104,0.7143469163,-0.0799764953,-0.1174314047,0.1998560629,0.3841638309,0.002525568
7205,808.258,0.71,-0.06,0.7143469163,-0.0799764953,-0.1174314047,0.1998560629,0.3841638309,0.002525568,0.3992602419,0.0002225264,-0.1393269059,-6.84236222309E-05,-0.0963508956,0.2312210909
7206,809.005,0.61,0.12,0.3992602419,0.0002225264,-0.1393269059,-6.84236222309E-05,-0.0963508956,0.2312210909,0.4790326312,-0.0043245916,-0.1578345191,1.0678855026,0.4268284088,-0.1967681461
