counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper
130,53.326000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
131,53.596000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
132,53.796000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
133,53.996000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
134,54.197000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
135,54.398000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
136,54.725000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
137,54.925000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
138,55.125000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
139,55.325000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
140,55.533000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
141,55.782000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
142,55.985000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
143,56.185000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
144,56.386000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
145,56.624000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
146,56.824000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
147,57.025000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
148,57.225000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
